YearStart,LocationAbbr,LocationDesc,Topic,Data_Value,Sample_Size,Age(years),Gender,Race/Ethnicity
2011,AL,Alabama,Obesity / Weight Status,32,7304,,,
2011,AL,Alabama,Obesity / Weight Status,32.3,2581,,Male,
2011,AL,Alabama,Obesity / Weight Status,31.8,4723,,Female,
2011,AL,Alabama,Obesity / Weight Status,33.6,1153,,,
2011,AL,Alabama,Obesity / Weight Status,32.8,2402,,,
2011,AL,Alabama,Obesity / Weight Status,33.8,1925,,,
2011,AL,Alabama,Obesity / Weight Status,26.4,1812,,,
2011,AL,Alabama,Obesity / Weight Status,16.3,356,18 - 24,,
2011,AL,Alabama,Obesity / Weight Status,35.2,598,25 - 34,,
2011,AL,Alabama,Obesity / Weight Status,35.5,865,35 - 44,,
2011,AL,Alabama,Obesity / Weight Status,38,1288,45 - 54,,
2011,AL,Alabama,Obesity / Weight Status,36.4,1676,55 - 64,,
2011,AL,Alabama,Obesity / Weight Status,27.1,2521,65 or older,,
2011,AL,Alabama,Obesity / Weight Status,38.5,1112,,,
2011,AL,Alabama,Obesity / Weight Status,34.8,1367,,,
2011,AL,Alabama,Obesity / Weight Status,35.8,757,,,
2011,AL,Alabama,Obesity / Weight Status,32.3,861,,,
2011,AL,Alabama,Obesity / Weight Status,34.1,785,,,
2011,AL,Alabama,Obesity / Weight Status,28.8,1125,,,
2011,AL,Alabama,Obesity / Weight Status,23.8,1297,,,
2011,AL,Alabama,Obesity / Weight Status,29.8,5042,,,Non-Hispanic White
2011,AL,Alabama,Obesity / Weight Status,40.1,1878,,,Non-Hispanic Black
2011,AL,Alabama,Obesity / Weight Status,28.6,115,,,Hispanic
2011,AL,Alabama,Obesity / Weight Status,,,,,Asian
2011,AL,Alabama,Obesity / Weight Status,,,,,Hawaiian/Pacific Islander
2011,AL,Alabama,Obesity / Weight Status,32.9,61,,,American Indian/Alaska Native
2011,AL,Alabama,Obesity / Weight Status,27.8,58,,,2 or more races
2011,AL,Alabama,Obesity / Weight Status,,,,,Other
2011,AL,Alabama,Obesity / Weight Status,34.7,7304,,,
2011,AL,Alabama,Obesity / Weight Status,39,2581,,Male,
2011,AL,Alabama,Obesity / Weight Status,30.5,4723,,Female,
2011,AL,Alabama,Obesity / Weight Status,33.2,1153,,,
2011,AL,Alabama,Obesity / Weight Status,34.1,2402,,,
2011,AL,Alabama,Obesity / Weight Status,35,1925,,,
2011,AL,Alabama,Obesity / Weight Status,36.8,1812,,,
2011,AL,Alabama,Obesity / Weight Status,27.1,356,18 - 24,,
2011,AL,Alabama,Obesity / Weight Status,31.9,598,25 - 34,,
2011,AL,Alabama,Obesity / Weight Status,33.3,857,35 - 44,,
2011,AL,Alabama,Obesity / Weight Status,35.8,1286,45 - 54,,
2011,AL,Alabama,Obesity / Weight Status,38.9,1650,55 - 64,,
2011,AL,Alabama,Obesity / Weight Status,39,2520,65 or older,,
2011,AL,Alabama,Obesity / Weight Status,28.4,1112,,,
2011,AL,Alabama,Obesity / Weight Status,31.9,1367,,,
2011,AL,Alabama,Obesity / Weight Status,35.7,757,,,
2011,AL,Alabama,Obesity / Weight Status,36.6,861,,,
2011,AL,Alabama,Obesity / Weight Status,36.1,785,,,
2011,AL,Alabama,Obesity / Weight Status,38.5,1125,,,
2011,AL,Alabama,Obesity / Weight Status,36,1297,,,
2011,AL,Alabama,Obesity / Weight Status,36.4,5042,,,Non-Hispanic White
2011,AL,Alabama,Obesity / Weight Status,30.1,1878,,,Non-Hispanic Black
2011,AL,Alabama,Obesity / Weight Status,34.5,115,,,Hispanic
2011,AL,Alabama,Obesity / Weight Status,,,,,Asian
2011,AL,Alabama,Obesity / Weight Status,,,,,Hawaiian/Pacific Islander
2011,AL,Alabama,Obesity / Weight Status,31.4,61,,,American Indian/Alaska Native
2011,AL,Alabama,Obesity / Weight Status,30.4,58,,,2 or more races
2011,AL,Alabama,Obesity / Weight Status,,,,,Other
2011,AL,Alabama,Fruits and Vegetables - Behavior,43.8,7231,,,
2011,AL,Alabama,Fruits and Vegetables - Behavior,35.4,2408,65 or older,,
2011,AL,Alabama,Fruits and Vegetables - Behavior,35.4,110,,,Hispanic
2011,AL,Alabama,Fruits and Vegetables - Behavior,36.1,1844,,,
